class,cost,ctmi,crv_arc,crv_plane,crv_pro,diss_10,diss_20,diss_25,diss_5,diss_a,rough_10,rough_20,rough_25,rough_5,rough_a,slp_d,sp_10,sp_20,sp_25,sp_5,sp_a,dem_m
not,1807.52002,5.3339601,0.460024,0.499508,0.0394842,0.442971,0.560029,0.668411,0.46757,0.534745,2.54726,3.4300499,3.7533901,1.79949,2.88255,8.2362003,0.316681,3.6784999,6.5177898,0.276398,2.69734,494.0130005
not,2487.889893,7.71176,0.501543,0.167131,-0.334412,0.636834,0.59322,0.646555,0.563874,0.610121,2.6663301,3.6948299,4.0321102,2.0144899,3.1019399,9.9005203,2.14117,5.3889198,7.9319501,0.674377,4.0341001,597.4760132
not,1442.189941,7.4634399,-0.167282,0.0394714,0.206753,0.480616,0.416407,0.416782,0.475185,0.447248,3.80831,4.7762299,4.97083,2.6617401,4.0542798,16.3082008,-0.499573,-4.5017099,-6.6637602,0.0092163,-2.91396,515.1119995
not,366.1520081,7.8722,0.961869,0.713438,-0.248431,0.475002,0.43508,0.403772,0.587688,0.475386,2.7154801,3.31545,3.53811,2.2846,2.9634099,13.5040998,0.268066,-3.21503,-4.92981,1.56586,-1.5777299,565.8439941
not,766.3939819,8.3687897,0.167131,-0.43565,-0.602781,0.393322,0.289967,0.269767,0.571013,0.381017,3.11566,4.15342,4.4679799,2.55462,3.5729201,15.1862001,-0.506531,-8.4264803,-12.6028004,1.2183501,-5.07937,506.7810059
not,2044.670044,9.0860996,-1.17082,-0.427504,0.743316,0.515892,0.52283,0.463677,0.499262,0.500415,3.29669,4.6232901,5.0272899,2.41712,3.8411,16.6425991,-0.930481,-1.64905,-3.63324,-0.678589,-1.72284,539.8010254
not,1247.569946,8.1382704,-0.669051,-0.266259,0.402792,0.529007,0.584906,0.614361,0.453831,0.545526,2.9848499,3.92327,4.1019001,2.059,3.2672601,9.9421501,-1.35962,-1.25714,-1.46393,-0.573242,-1.16348,662.3640137
not,57.2403984,5.5684099,0.250922,0.209496,-0.0414263,0.272523,0.236859,0.211165,0.398551,0.279775,2.6881399,3.78773,3.9977701,1.79123,3.06622,6.5317302,-2.4856,-5.1307998,-5.7863798,-0.691528,-3.5235701,543.052002
not,709.1599731,6.9176602,0.418053,0.302249,-0.115804,0.926668,0.970311,0.970525,0.834589,0.925523,1.57192,2.4119999,2.7864201,0.968899,1.93481,1.70144,2.0103099,5.0018902,6.7769799,0.589905,3.59477,612.8170166
not,2533.600098,12.5628996,-4.1393099,-1.40461,2.73471,0.316649,0.460212,0.455319,0.249497,0.370419,2.5641699,3.3065,3.4584899,1.8053499,2.7836299,9.3709202,-4.28333,-2.1651299,-2.1085801,-2.9024999,-2.8648801,346.1170044
not,99.6949997,7.5506101,-0.334714,0.0497775,0.384491,0.20527,0.131354,0.13209,0.5102,0.244729,1.7441601,2.9558899,3.23806,1.19593,2.28351,4.50949,-1.34363,-6.6389799,-8.7365103,0.10199,-4.1542802,664.8699951
not,487.6759949,7.0865402,0.0837161,0.259256,0.17554,0.608228,0.479406,0.493004,0.661161,0.56045,1.9599,2.5004499,2.6034901,1.4914,2.1388099,4.3042798,2.67398,3.1556399,2.5938101,1.27191,2.42384,513.1140137
not,666.8300171,6.8666601,0.250696,-0.0443502,-0.295046,0.707382,0.680153,0.597433,0.651884,0.659213,2.5952401,2.73137,2.84568,2.0587001,2.55775,8.88309,1.80804,-0.135742,-1.57776,0.972046,0.266647,533.4680176
not,0,14.2882996,-1.04521,-1.1864901,-0.141279,0.127938,0.208579,0.275914,0.072651,0.17127,2.6968601,3.25035,3.3476901,1.9722,2.8167701,2.82582,-5.1922002,-11.4141998,-13.2370996,-2.6579001,-8.12537,514.6380005
not,0,14.8051004,-5.8534198,-2.8425601,3.01086,0.222623,0.297493,0.337133,0.327161,0.296103,2.217,3.2462201,3.5056701,1.5803601,2.63731,4.4908099,-5.9766202,-11.7025003,-12.7988997,-3.4581599,-8.4840298,506.2390137
not,183.798996,8.7254896,0.459949,0.0853822,-0.374567,0.439332,0.292878,0.239741,0.61404,0.396498,1.46145,1.89431,2.0106699,1.26341,1.65746,3.62391,0.497192,-0.236877,-0.720276,0.634705,0.0436859,561.2379761
not,1081.959961,7.3269401,-0.255142,0.114435,0.369577,0.586179,0.725014,0.750466,0.471667,0.633331,2.2372701,3.36887,3.75261,1.58698,2.7364299,8.96842,0.697083,4.9307899,7.2059302,-0.307068,3.13168,721.0180054
not,0,15.3487997,-2.9683399,-1.90648,1.06186,0.44445,0.287214,0.304229,0.497638,0.383383,1.6536601,2.4918399,2.77209,1.24104,2.03966,3.3058801,-1.72974,-4.93646,-6.6347699,-1.04645,-3.5868499,640.2490234
not,520.6699829,6.9379702,-0.0834901,0.167103,0.250593,0.483621,0.296368,0.227942,0.450602,0.364633,2.4772201,3.0681801,3.3745201,1.80471,2.68116,6.6409602,0.214355,-1.63232,-3.4924901,0.0238647,-1.22165,532.3499756
not,1845.189941,6.17627,0.292592,0.540464,0.247872,0.628547,0.751595,0.779196,0.518835,0.669543,3.19383,4.4170799,4.5363002,2.3115201,3.6146801,14.0028,3.8677399,14.8240004,18.7257996,0.375458,9.4482403,506.3070068
not,403.6170044,6.65943,0.250922,0.376236,0.125314,0.180412,0.0936519,0.110492,0.245333,0.157472,2.6463499,3.73613,4.1748199,1.81936,3.0941701,8.7450104,-3.1500199,-8.8508902,-11.5426998,-1.12137,-6.1662502,456.1499939
not,335.1789856,6.0843201,1.6305799,0.775203,-0.855378,0.470512,0.40853,0.385726,0.468486,0.433314,2.5238199,3.1593101,3.2643099,2.07142,2.75472,15.2909002,-0.166779,-3.1012001,-4.4099398,0.426453,-1.81287,486.3590088
not,241.0619965,7.08108,-0.376383,-0.157759,0.218624,0.431342,0.3869,0.409544,0.544197,0.442996,2.2291601,3.08044,3.2530899,1.68397,2.5616601,7.1887398,-2.8478999,-8.6173697,-10.3098001,-0.375916,-5.5377302,619.9290161
not,2607.560059,4.3151798,-1.21245,0.398524,1.61098,0.475559,0.484498,0.481482,0.384937,0.456619,4.4307599,5.6426702,5.8375401,3.15379,4.7661901,21.8470001,-0.823273,1.4088399,1.87509,-1.49597,0.241173,494.3519897
not,1464.589966,8.0179796,0.167282,0,-0.167282,0.490685,0.562868,0.604124,0.55242,0.552524,2.0309501,2.6319201,2.8646901,1.47953,2.25177,5.0837202,0.374451,1.68268,3.04614,0.284302,1.34689,671.9819946
not,1424.599976,6.81601,0.836257,0.202962,-0.633295,0.590738,0.607655,0.628768,0.647667,0.618707,2.8932099,3.32181,3.43963,2.31458,2.99231,14.7383003,1.88416,2.3949599,2.90747,1.32452,2.12778,633.6790161
not,786.4249878,6.8769302,0.0834901,0.0810972,-0.0023928,0.725694,0.875739,0.885869,0.70454,0.79796,1.67504,2.4187801,2.7080801,1.27973,2.0204101,5.3028498,1.62738,4.5065899,6.0911899,0.546448,3.1928999,644.7199707
