class,slp,sp21,sp11,sp7,rph21,rph11,rph7,diss21,diss11,diss7,slpmn21,slpmn11,slpmn7,sei,hli,asp_lin,sar,ssr21,ssr11,ssr7,crossc21,crossc11,crossc7,planc21,planc11,planc7,proc21,proc11,proc7,longc21,longc11,longc7,us_dist,state_dist,local_dist,strm_dist,strm_cost,us_cost,state_cost,local_cost,steve,dspm,drain
not,20.7378998,0.388428,-0.0102539,-0.112793,25.8633003,9.1152897,4.0827599,0.515381,0.444223,0.426229,13.7280998,14.9811001,16.0121002,-19.2098999,0.160958,340.2369995,4.2771101,0.49801,0.445109,0.441135,0.0020654,0.0059721,0.0093117,-0.008571,-0.0225275,-0.0328014,-0.0003058,-0.0036671,-0.0053859,-0.0003328,-0.0040604,-0.0060499,8130.220215,1120,762.7579956,538.5159912,8837.099609,25418.69922,11301.09961,11476.7002,4,3,2
not,1.68731,1.13065,0.245209,0.119019,6.0636101,0.894511,0.0695143,0.579514,0.528177,0.356205,8.9003201,6.59233,3.7240601,-1.62801,0.100845,21.3451996,4.00174,0.487858,0.48296,0.281332,0.0045752,0.0046384,0.0031247,-0.0453088,-0.0610746,-0.0605161,0.0019856,0.0022452,0.0004691,0.0020161,0.0022647,0.000471,7790.509766,5909.890137,116.6190033,297.3210144,3095.729981,22483.80078,30032.19922,594.8439941,4,3,2
not,24.1191006,-1.9251699,-0.562317,-0.209534,74.2381973,24.6763992,10.3774004,0.411814,0.410677,0.456374,25.4591999,24.0421009,24.6753998,-21.9624996,0.415625,338.5920105,4.3826098,0.461869,0.438272,0.472587,-0.0048822,-0.0008671,-0.0002827,0.0143359,0.0020636,0.0006269,-0.0014758,-0.0065479,-0.0068344,-0.0017398,-0.0083564,-0.0090223,9163.410156,6456.140137,241.6609955,72.1110001,1241.469971,18888.69922,24103.69922,5217.370117,1,3,2
not,28.1751003,2.26016,0.655731,0.301971,95.8703003,29.8377991,12.6793003,0.587784,0.532409,0.506231,24.9260006,26.0636997,27.0165005,-21.7126999,0.0610698,40.1170998,4.5376701,0.531016,0.501889,0.484549,0.0042495,0.0081702,0.0088737,-0.0097024,-0.0171645,-0.0176964,0.0033638,0.0024963,0.0012212,0.0043768,0.0033911,0.0017097,1064,10300.5,308.868988,116.6190033,3565.27002,10429.59961,22652.69922,4469.600098,4,3,2
not,11.6710997,1.17664,0.435944,0.258179,20.6949997,6.3133798,2.5947199,0.640414,0.59591,0.557857,12.6032,12.8662004,13.0529003,-11.4139996,0.813535,14.1079998,4.0844498,0.580928,0.553952,0.519356,0.0018098,0.0013958,0.0012814,-0.0088876,-0.0063178,-0.0056099,0.0018128,0.0026042,0.0030898,0.0019267,0.0027972,0.0033347,11922.40039,3532.100098,310,323.8829956,4924.209961,26759.5,15239.40039,2340.76001,4,3,2
not,19.4454002,-0.0496826,0.0374756,0.0181274,83.1587982,19.7968998,6.97049,0.505732,0.511036,0.522414,23.8915997,22.8372002,21.4668999,19.3335991,1.07146,173.6390076,4.2419701,0.507031,0.508999,0.520718,-0.0012205,-0.0010041,-0.0009059,0.0028048,0.0024019,0.0022939,0.0003393,0.0005938,0.0012107,0.0004401,0.0007561,0.0015046,29301.5,5931.549805,36.0555,240.4160004,5196.819824,106531,29455.30078,1053.849976,1,3,4
not,4.0099702,0.114868,0.0235901,0.0499573,2.19713,0.671564,0.248775,0.477591,0.447604,0.500457,4.6457801,4.349,4.2989502,-4.0099301,0.142825,353.8919983,4.00982,0.459647,0.440786,0.477103,0.0010227,0.00099,0.0005967,-0.0155083,-0.0139124,-0.0084225,0.0004058,-0.000566,-0.0008708,0.0004085,-0.0005703,-0.0008774,8383.849609,1730.459961,40,299.6659851,1940.98999,14531.90039,4870.859863,77.9055023,3,3,2
not,16.7754002,4.8965502,1.91333,0.902466,22.2723007,7.8345799,3.52156,0.806037,0.823928,0.794092,19.0116005,16.7838993,15.2347002,15.7616997,0.0640101,157.8970032,4.1777902,0.567189,0.654071,0.670078,0.0092816,0.0044059,0.004074,-0.0901714,-0.0231728,-0.0173235,0.0042932,0.0199752,0.0249844,0.0043616,0.0210681,0.0270855,4555.799805,1603.780029,10,234.0939941,2763.780029,11763.09961,5390.149902,87.9276962,4,3,2
not,2.8203299,1.35049,0.580627,0.301224,2.89747,0.688525,0.248688,0.824058,0.763371,0.729065,5.7069302,5.1173701,4.7716498,-1.9412301,0.0509753,36.8482018,4.0048499,0.655672,0.612655,0.597803,0.0007738,0.0012127,0.002316,-0.0119163,-0.0205706,-0.0390955,0.0030584,0.0055009,0.0067797,0.0030778,0.0055296,0.0068154,1487.579956,5837.430176,276.5859985,218.4029999,991.8380127,1800.949951,6159.279785,1071.199951,8,6,2
not,10.6391001,0.197021,0.193848,0.14856,13.7313004,3.21628,1.24397,0.569269,0.563179,0.584924,10.5894003,9.4679604,9.2411299,-8.4469805,0.111983,321.0570068,4.0699601,0.55767,0.53565,0.549285,-0.0009215,-0.0008338,-0.000104,0.0051039,0.0050312,0.0006458,0.0006175,0.0009105,0.0022991,0.0006479,0.0009483,0.0023892,24598.90039,3789.929932,358.0499878,364.0050049,3444.830078,60101,29275.09961,3299.73999,4,5,2
